sample;time;position_x;position_y;position_z
410;6.81666667;-0.111697;1.4037952;-0.214548
411;6.83333333;-0.111697;1.4037952;-0.214548
412;6.85;-0.111697;1.4037952;-0.214548
413;6.86666667;-0.111697;1.4037952;-0.214548
414;6.88333333;-0.111697;1.4037952;-0.214548
415;6.9;-0.111697;1.4037952;-0.214548
416;6.91666667;-0.111697;1.4037952;-0.214548
417;6.93333333;-0.111697;1.4037952;-0.214548
418;6.95;-0.111697;1.4037952;-0.214548
419;6.96666667;-0.111697;1.4037952;-0.214548
420;6.98333333;-0.111697;1.4037952;-0.214548
421;7;-0.111697;1.4037952;-0.214548
422;7.01666667;-0.111697;1.4037952;-0.214548
423;7.03333333;-0.111697;1.4037952;-0.214548
424;7.05;-0.111697;1.4037952;-0.214548
425;7.06666667;-0.111697;1.4037952;-0.214548
426;7.08333333;-0.111697;1.4037952;-0.214548
427;7.1;-0.111697;1.4037952;-0.214548
428;7.11666667;-0.111697;1.4037952;-0.214548
429;7.13333333;-0.111697;1.4037952;-0.214548
430;7.15;-0.111697;1.4037952;-0.214548
431;7.16666667;-0.111697;1.4037952;-0.214548
432;7.18333333;-0.111697;1.4037952;-0.214548
433;7.2;-0.111697;1.4037952;-0.214548
434;7.21666667;-0.111697;1.4037952;-0.214548
435;7.23333333;-0.111697;1.4037952;-0.214548
436;7.25;-0.111697;1.4037952;-0.214548
437;7.26666667;-0.111697;1.4037952;-0.214548
438;7.28333333;-0.111697;1.4037952;-0.214548
439;7.3;-0.111697;1.4037952;-0.214548
440;7.31666667;-0.111697;1.4037952;-0.214548
441;7.33333333;-0.111697;1.4037952;-0.214548
442;7.35;-0.111697;1.4037952;-0.214548
443;7.36666667;-0.111697;1.4037952;-0.214548
444;7.38333333;-0.111697;1.4037952;-0.214548
445;7.4;-0.111697;1.4037952;-0.214548
446;7.41666667;-0.111697;1.4037952;-0.214548
447;7.43333333;-0.111697;1.4037952;-0.214548
448;7.45;-0.111697;1.4037952;-0.214548
449;7.46666667;-0.111697;1.4037952;-0.214548
450;7.48333333;-0.111697;1.4037952;-0.214548
451;7.5;-0.111697;1.4037952;-0.214548
452;7.51666667;-0.111697;1.4037952;-0.214548
453;7.53333333;-0.111697;1.4037952;-0.214548
454;7.55;-0.111697;1.4037952;-0.214548
455;7.56666667;-0.111697;1.4037952;-0.214548
456;7.58333333;-0.111697;1.4037952;-0.214548
457;7.6;-0.111697;1.4037952;-0.214548
458;7.61666667;-0.111697;1.4037952;-0.214548
459;7.63333333;-0.111697;1.4037952;-0.214548
460;7.65;-0.111697;1.4037952;-0.214548
461;7.66666667;-0.111697;1.4037952;-0.214548
462;7.68333333;-0.111697;1.4037952;-0.214548
463;7.7;-0.111697;1.4037952;-0.214548
464;7.71666667;-0.111697;1.4037952;-0.214548
465;7.73333333;-0.111697;1.4037952;-0.214548
466;7.75;-0.111697;1.4037952;-0.214548
467;7.76666667;-0.111697;1.4037952;-0.214548
468;7.78333333;-0.111697;1.4037952;-0.214548
469;7.8;-0.111697;1.4037952;-0.214548
470;7.81666667;-0.111697;1.4037952;-0.214548
471;7.83333333;-0.111697;1.4037952;-0.214548
472;7.85;-0.111697;1.4037952;-0.214548
473;7.86666667;-0.111697;1.4037952;-0.214548
474;7.88333333;-0.111697;1.4037952;-0.214548
475;7.9;-0.111697;1.4037952;-0.214548
476;7.91666667;-0.111697;1.4037952;-0.214548
477;7.93333333;-0.111697;1.4037952;-0.214548
478;7.95;-0.111697;1.4037952;-0.214548
479;7.96666667;-0.111697;1.4037952;-0.214548
480;7.98333333;-0.111697;1.4037952;-0.214548
481;8;-0.111697;1.4037952;-0.214548
482;8.016666669999999;-0.111697;1.4037952;-0.214548
483;8.03333333;-0.111697;1.4037952;-0.214548
484;8.050000000000001;-0.111697;1.4037952;-0.214548
485;8.06666667;-0.111697;1.4037952;-0.214548
486;8.08333333;-0.111697;1.4037952;-0.214548
487;8.1;-0.111697;1.4037952;-0.214548
488;8.116666670000001;-0.111697;1.4037952;-0.214548
489;8.133333329999999;-0.111697;1.4037952;-0.214548
490;8.15;-0.111697;1.4037952;-0.214548
491;8.16666667;-0.111697;1.4037952;-0.214548
492;8.18333333;-0.111697;1.4037952;-0.214548
493;8.199999999999999;-0.111697;1.4037952;-0.214548
494;8.21666667;-0.111697;1.4037952;-0.214548
495;8.233333330000001;-0.111697;1.4037952;-0.214548
496;8.25;-0.111697;1.4037952;-0.214548
497;8.266666669999999;-0.111697;1.4037952;-0.214548
498;8.28333333;-0.111697;1.4037952;-0.214548
499;8.300000000000001;-0.111697;1.4037952;-0.214548
500;8.31666667;-0.111697;1.4037952;-0.214548
501;8.33333333;-0.111697;1.4037952;-0.214548
502;8.35;-0.111697;1.4037952;-0.214548
503;8.366666670000001;-0.111697;1.4037952;-0.214548
504;8.383333329999999;-0.111697;1.4037952;-0.214548
505;8.4;-0.111697;1.4037952;-0.214548
506;8.41666667;-0.111697;1.4037952;-0.214548
507;8.43333333;-0.111697;1.4037952;-0.214548
508;8.449999999999999;-0.111697;1.4037952;-0.214548
509;8.46666667;-0.111697;1.4037952;-0.214548
