DataRate=60		
DataType=Quaternion
version= 3		
OpenSimVersion= 4.1		
endheader		
time	r_humerus_imu	r_ulna_radius_hand_imu
36.3	 0.6878397, 0.011317698, 0.00546627, 0.72575706	 0.5980551, 0.44363558, 0.28579345, -0.6031912
36.31666666666666	 0.68781954, 0.01132649, 0.0054701157, 0.725776	 0.59646875, 0.44624153, 0.28925422, -0.6011868
36.333333333333336	 0.6878182, 0.0113085285, 0.0054724, 0.72577757	 0.5952963, 0.44862172, 0.29118443, -0.59964365
36.35	 0.68781286, 0.011308629, 0.005478326, 0.7257825	 0.59486455, 0.4509497, 0.29135808, -0.59824
36.36666666666667	 0.6877915, 0.01131778, 0.005465028, 0.72580284	 0.5941791, 0.45340997, 0.29199454, -0.59674954
36.38333333333333	 0.68775445, 0.011313357, 0.0054713925, 0.72583795	 0.59296364, 0.45583305, 0.2938354, -0.5952069
36.4	 0.6877655, 0.011307841, 0.005473538, 0.7258275	 0.59112644, 0.4580332, 0.29681742, -0.59386414
36.416666666666664	 0.6877453, 0.011302805, 0.0054816967, 0.72584677	 0.5892218, 0.46017525, 0.29971594, -0.592644
36.43333333333333	 0.687733, 0.011317131, 0.0054811207, 0.7258581	 0.58712226, 0.4623613, 0.3028299, -0.59144205
36.45	 0.6877203, 0.011331973, 0.005478612, 0.72587	 0.58526844, 0.46445438, 0.30579558, -0.590112
36.46666666666667	 0.68771124, 0.011324379, 0.005490317, 0.7258786	 0.58392096, 0.46612787, 0.30806378, -0.5889466
36.483333333333334	 0.6876988, 0.011311722, 0.005498739, 0.72589046	 0.5835565, 0.46696883, 0.30889216, -0.58820724
36.5	 0.68769026, 0.011320701, 0.0055039395, 0.7258983	 0.58371204, 0.46728092, 0.30924115, -0.5876214
36.516666666666666	 0.687667, 0.01133929, 0.005502274, 0.7259202	 0.58385533, 0.46739557, 0.30944306, -0.5872814
36.53333333333333	 0.6876316, 0.011347252, 0.005506928, 0.72595346	 0.5843278, 0.4673771, 0.30904898, -0.58703357
36.55	 0.68762565, 0.011348034, 0.005497323, 0.72595924	 0.5846844, 0.46734324, 0.30883482, -0.58681846
36.56666666666666	 0.6875092, 0.011355267, 0.005499463, 0.7260694	 0.5844553, 0.46740848, 0.30953202, -0.586627
36.583333333333336	 0.68750787, 0.011375933, 0.005493714, 0.72607034	 0.5841604, 0.46742812, 0.31023997, -0.58653134
36.6	 0.68746513, 0.011391201, 0.0054971357, 0.72611064	 0.5844515, 0.4672, 0.31014115, -0.58647513
36.61666666666667	 0.6874671, 0.011398727, 0.0055023455, 0.72610855	 0.58475715, 0.46702358, 0.3099459, -0.58641416
36.63333333333333	 0.68745226, 0.011390761, 0.005505061, 0.72612274	 0.58482265, 0.46706533, 0.31019384, -0.58618456
36.65	 0.68743914, 0.011382477, 0.0055037816, 0.72613525	 0.5849015, 0.4670761, 0.31030807, -0.58603686
36.666666666666664	 0.6873962, 0.011393902, 0.005495863, 0.7261758	 0.5852235, 0.46689013, 0.31014878, -0.5859478
36.68333333333333	 0.6874071, 0.011401498, 0.0054965303, 0.7261654	 0.585547, 0.46668145, 0.30983758, -0.5859555
36.7	 0.68737537, 0.011401875, 0.0054901047, 0.72619545	 0.5860449, 0.46648052, 0.3092116, -0.5859483
36.71666666666667	 0.68735355, 0.011393655, 0.0054855915, 0.7262162	 0.58671355, 0.4661873, 0.30842245, -0.58592874
36.733333333333334	 0.6873386, 0.011383595, 0.0054996414, 0.7262305	 0.58723, 0.46577322, 0.30781624, -0.58605945
36.75	 0.6873251, 0.011381499, 0.0055142217, 0.72624314	 0.5881061, 0.46511477, 0.30672765, -0.58627456
36.766666666666666	 0.6872973, 0.011384536, 0.0055164844, 0.7262694	 0.5886637, 0.4644279, 0.30611312, -0.5865805
36.78333333333333	 0.687268, 0.011384854, 0.005517467, 0.7262971	 0.58875716, 0.4639052, 0.30613688, -0.5868879
36.8	 0.68726313, 0.011382653, 0.00551716, 0.72630167	 0.58867717, 0.46346128, 0.3061603, -0.5873066
36.81666666666666	 0.68727416, 0.011362854, 0.005529194, 0.72629154	 0.58835983, 0.46291482, 0.3064465, -0.58790576
36.833333333333336	 0.68727005, 0.011356893, 0.005541332, 0.7262954	 0.5882807, 0.4619687, 0.3062438, -0.58883417
36.85	 0.6872348, 0.011357006, 0.005545364, 0.72632873	 0.588571, 0.4607028, 0.30556694, -0.5898864
36.86666666666667	 0.6872085, 0.011349434, 0.005549737, 0.72635365	 0.589166, 0.45911407, 0.30437964, -0.59114367
36.88333333333333	 0.68720496, 0.011344768, 0.0055417847, 0.7263572	 0.5898406, 0.45743677, 0.30316174, -0.5923958
36.9	 0.6872041, 0.011335943, 0.0055480865, 0.72635806	 0.5902139, 0.45587987, 0.3023362, -0.5936447
36.916666666666664	 0.6871823, 0.011331895, 0.0055482523, 0.7263788	 0.59059656, 0.4543805, 0.30160618, -0.5947839
36.93333333333333	 0.68717796, 0.011321289, 0.00555324, 0.72638303	 0.59122056, 0.45286208, 0.30087924, -0.5956895
36.95	 0.6871819, 0.011316233, 0.005552764, 0.7263793	 0.5919998, 0.45115036, 0.29985565, -0.5967297
36.96666666666667	 0.6871768, 0.011315193, 0.00555099, 0.7263842	 0.5931922, 0.44913593, 0.2978376, -0.59807414
36.983333333333334	 0.68715596, 0.01130667, 0.0055462276, 0.726404	 0.5948084, 0.4467407, 0.29503375, -0.59965056
37	 0.68716615, 0.011294283, 0.0055459384, 0.72639465	 0.5969415, 0.44388375, 0.29126623, -0.60149175
37.016666666666666	 0.6871482, 0.011286275, 0.005552767, 0.72641164	 0.599873, 0.4403051, 0.28650463, -0.6034891
37.03333333333333	 0.6871221, 0.011298451, 0.0055478676, 0.72643626	 0.60337114, 0.43605158, 0.2818341, -0.6052867
37.05	 0.6871213, 0.011310034, 0.0055396054, 0.7264369	 0.6068881, 0.43163753, 0.2779448, -0.60673106
37.06666666666666	 0.68712133, 0.011329048, 0.0055168243, 0.7264367	 0.6090598, 0.4282954, 0.2757635, -0.60791755
37.083333333333336	 0.68712074, 0.011348933, 0.0054949406, 0.72643715	 0.61073357, 0.4259618, 0.27369088, -0.6088139
37.1	 0.6871003, 0.011354913, 0.0054956595, 0.72645634	 0.61193097, 0.42394397, 0.27207732, -0.6097426
37.11666666666667	 0.68703425, 0.01134791, 0.005509846, 0.72651887	 0.613173, 0.42182603, 0.27056435, -0.6106363
37.13333333333333	 0.6869528, 0.0113148615, 0.0055240635, 0.72659624	 0.6146834, 0.4194724, 0.2688555, -0.61149323
37.15	 0.6868856, 0.011300347, 0.00553036, 0.72665995	 0.61664045, 0.41701746, 0.26657447, -0.6122002
