sep=,
DeviceTag:,Xsens_2,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Euler),,,,,,,,,,,,,,,,,
StartTime:,2023-05-16 13:58:40.381 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
742, 976136417, -166.77749633789062, 1.9503357410430908, 122.41993713378906, -0.102576494, -0.15680507, -0.36872768, 0
743, 976153084, -166.77354431152344, 1.9631223678588867, 122.41600799560547, -0.021042654, -0.11051545, -0.2886877, 0
744, 976169751, -166.76319885253906, 1.9788455963134766, 122.40885162353516, -0.06526313, -0.11118965, -0.36183357, 0
745, 976186418, -166.75099182128906, 1.9931410551071167, 122.40325927734375, -0.09230876, -0.14364946, -0.3850975, 0
746, 976203085, -166.7444610595703, 2.0092616081237793, 122.40074920654297, -0.15202217, -0.19915116, -0.32298565, 0
747, 976219752, -166.7486572265625, 2.034191846847534, 122.39779663085938, -0.13941716, -0.2017533, -0.3090973, 0
748, 976236419, -166.7566680908203, 2.057370185852051, 122.40509033203125, -0.08825493, -0.16599032, -0.34382153, 0
749, 976253086, -166.753662109375, 2.081315755844116, 122.40857696533203, -0.06535667, -0.115180135, -0.3803997, 0
750, 976269753, -166.7349395751953, 2.102520704269409, 122.41118621826172, -0.07903536, -0.12128591, -0.3590374, 0
751, 976286420, -166.70587158203125, 2.124169111251831, 122.41558074951172, -0.052519232, -0.11364214, -0.3168831, 0
752, 976303087, -166.67312622070312, 2.146826982498169, 122.43003845214844, -0.023534462, -0.124827236, -0.37239456, 0
753, 976319754, -166.64918518066406, 2.169041633605957, 122.4344482421875, -0.1069549, -0.209454, -0.38950253, 0
754, 976336421, -166.64259338378906, 2.191922664642334, 122.43290710449219, -0.18129267, -0.28791285, -0.41943073, 0
755, 976353088, -166.65274047851562, 2.217359781265259, 122.42525482177734, -0.17200395, -0.20466046, -0.3739996, 0
756, 976369755, -166.65093994140625, 2.2429897785186768, 122.41867065429688, -0.07305661, -0.09379826, -0.3763008, 0
757, 976386422, -166.6328887939453, 2.2577600479125977, 122.41561126708984, -0.029405951, -0.08543085, -0.42675018, 0
758, 976403089, -166.5978240966797, 2.266796827316284, 122.41390228271484, -0.084734574, -0.061108917, -0.41692924, 0
759, 976419756, -166.5682373046875, 2.277395009994507, 122.41353607177734, -0.15920742, -0.13487, -0.42535496, 0
760, 976436423, -166.56541442871094, 2.291889190673828, 122.40857696533203, -0.20999618, -0.15821236, -0.36640358, 0
761, 976453090, -166.5711212158203, 2.3092236518859863, 122.40461730957031, -0.1334188, -0.14912042, -0.3475952, 0
762, 976469757, -166.5799560546875, 2.3316597938537598, 122.40436553955078, -0.10425136, -0.098505385, -0.45918941, 0
763, 976486424, -166.5723876953125, 2.3496086597442627, 122.4029312133789, -0.11613917, -0.12547505, -0.46695137, 0
