-117.476970292566+3.5527136788005e-15i,-59.6883894493044+0i,-72.6091827417029+0i
-94.9934606044296+0i,-39.9156469376154+8.88178419700125e-16i,-75.44572001137+0i
-90.1654270957349+3.5527136788005e-15i,-34.7102819558951+8.88178419700125e-16i,-83.152494759+0i
-92.5265426410089+0i,-45.0228977882901+0i,-91.3201533871718+0i
-95.628762683454-3.5527136788005e-15i,-52.0452092347272-1.77635683940025e-15i,-92.5561309242397+0i
-104.506145136954-3.5527136788005e-15i,-49.4095680100384+0i,-88.2938248833185+0i
-110.54108271917+0i,-44.3398241512218-1.77635683940025e-15i,-77.0793643146503-3.5527136788005e-15i
-103.015793745929+0i,-38.4602435202863+1.77635683940025e-15i,-78.827388932646+3.5527136788005e-15i
-94.0031460346677+0i,-30.461852775346+0i,-93.4688741637711+0i
-104.84058596814-3.5527136788005e-15i,-35.0886151225336+0i,-106.054923477155-3.5527136788005e-15i
-116.455687136107-7.105427357601e-15i,-49.774350197436+3.5527136788005e-15i,-97.1466917289751+3.5527136788005e-15i
-104.795680637025+0i,-58.7687082159081+0i,-80.5478116525113+3.5527136788005e-15i
-78.7064401529143+3.5527136788005e-15i,-54.7769103756522-1.77635683940025e-15i,-70.3220338548797-3.5527136788005e-15i
-67.4218913490481+0i,-51.9027226171653+0i,-68.9708651568208-3.5527136788005e-15i
-73.6126693220718+3.5527136788005e-15i,-52.6065822473839-1.77635683940025e-15i,-66.5338645078657+0i
-76.670443096059-3.5527136788005e-15i,-46.526224104832+1.77635683940025e-15i,-59.9079138297197+1.77635683940025e-15i
-76.3067101500216+0i,-37.0691061319464-1.77635683940025e-15i,-56.4101560234188+1.77635683940025e-15i
-87.1683781409065-3.5527136788005e-15i,-40.6768994369697+0i,-58.0861373481028-1.77635683940025e-15i
-104.764979414835+3.5527136788005e-15i,-53.081872430392-1.77635683940025e-15i,-60.7383668127664+0i
-106.007176643287+0i,-54.8193597147707+0i,-55.9421434180638-3.5527136788005e-15i
-90.100538848318-3.5527136788005e-15i,-39.6425214188032+0i,-54.4534370568767+0i
-83.8144790907058+0i,-26.6709592285566+0i,-55.6381845047073+1.77635683940025e-15i
-93.0052289504395+3.5527136788005e-15i,-27.5868221414166+8.88178419700125e-16i,-60.9170656419539+0i
-99.0940946550381+0i,-29.2817172535564+0i,-63.3677136297649+0i
-90.6093821440062+3.5527136788005e-15i,-29.4936624967478+0i,-62.1125742612495+0i
-77.7712892525474+0i,-29.6895059114924+0i,-60.6380336546171+1.77635683940025e-15i
-71.8523577319121-3.5527136788005e-15i,-20.4445616300408+0i,-56.9372184203932+0i
-81.6862873260865+3.5527136788005e-15i,-8.49977627541249-4.44089209850063e-16i,-53.6039342145604+0i
-96.8126827803033+0i,3.64532396539853+1.11022302462516e-16i,-56.5943773982705-1.77635683940025e-15i
-109.31001447602+0i,12.4747738430435+0i,-73.0951526889189+3.5527136788005e-15i
-105.212293359716+3.5527136788005e-15i,22.3758538482597+0i,-87.6914764797225+0i
-92.0371292009331+3.5527136788005e-15i,17.7601451678351-8.88178419700125e-16i,-83.9095456978504-3.5527136788005e-15i
-81.3028441865034+0i,-3.19883468423847+0i,-70.4011118687527+3.5527136788005e-15i
-88.5710705970229-3.5527136788005e-15i,-22.7165109682207+0i,-69.2634656726051+0i
-113.34634823582+0i,-15.2274982680089+0i,-83.1307797055565+0i
-137.081917196518+0i,-0.0808724432913142+0i,-102.658693751306+3.5527136788005e-15i
-156.116987229446+7.105427357601e-15i,-7.42019122570103+0i,-113.136718756062+0i
-162.320428105273-7.105427357601e-15i,-43.6108670324327+0i,-107.907193820772+0i
-159.321545636196+0i,-60.4658007172185+0i,-102.948231275624+0i
-144.692606767337-7.105427357601e-15i,-39.6228872884435-1.77635683940025e-15i,-119.473542431205-7.105427357601e-15i
-147.869025457548+7.105427357601e-15i,-11.918026188274-2.22044604925031e-16i,-155.479276840024+7.105427357601e-15i
-166.733467200195-7.105427357601e-15i,-11.0562633797682-4.44089209850063e-16i,-170.477815200871+7.105427357601e-15i
-183.088084026427+7.105427357601e-15i,-23.8500735767393+0i,-138.664137963207+0i
-190.429088155467-7.105427357601e-15i,-33.8785879996187+1.77635683940025e-15i,-77.7200716120747-7.105427357601e-15i
-182.465335098052+0i,-33.6375924298622+0i,-44.5973193677901+0i
-156.446038387242+7.105427357601e-15i,-39.3229996752892+1.77635683940025e-15i,-26.2659946585459+0i
-87.3527161862122+0i,-54.2810456393177-1.77635683940025e-15i,30.6358664579634+8.88178419700125e-16i
16.4322665632895+0i,-82.2364570224543+3.5527136788005e-15i,146.974981313927-7.105427357601e-15i
129.005868644093+0i,-114.968612337959+7.105427357601e-15i,239.86646353442+1.4210854715202e-14i
210.9345383275+7.105427357601e-15i,-144.060912453943+0i,259.560204851154+0i
215.644939057435+0i,-167.114012701535-7.105427357601e-15i,267.726495659606-7.105427357601e-15i
161.108892647325-7.105427357601e-15i,-185.586127322005+0i,318.083455055283-1.4210854715202e-14i
82.5440496587282+0i,-202.757752019037+0i,396.593628454391+1.4210854715202e-14i
34.2474061230929+4.44089209850063e-16i,-214.928202127746+0i,429.537720220408-1.4210854715202e-14i
23.1869030554635-4.44089209850063e-16i,-215.863942470894+0i,416.189220743133+0i
33.1951650334425+1.77635683940025e-15i,-188.841711186324+1.4210854715202e-14i,368.712331212885+1.4210854715202e-14i
31.0558043883673-1.77635683940025e-15i,-158.490797291678-7.105427357601e-15i,316.727987024836-1.4210854715202e-14i
18.1677485272054-4.44089209850063e-16i,-143.378478068055+0i,270.28408052018+0i
26.6526814521577+0i,-146.475164762054+0i,229.334157378562+0i
60.2237109011338+3.5527136788005e-15i,-132.974428469869+0i,188.522968466293+0i
107.069941005162+0i,-98.3567824465865+0i,153.994074578657+1.4210854715202e-14i
