sep=,
DeviceTag:,Xsens_5,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.0.0,,,,,,,,,,,,,,,,,
StartTime:,2023-06-20 14:10:10.000 +0200,,,,,,,,,,,,,,,,,
© Movella Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Status,
99, 717994791, 0.65942657, 0.001700249, -0.019719243, -0.7515085, 0.09964729100465775, 0.12652064859867096, 9.892120361328125, 1.0104913711547852, -0.6882771849632263, 0.5059212446212769, 0, 
100, 718011458, 0.6595349, 0.001717858, -0.01979457, -0.75141126, 0.09072709828615189, 0.1216520294547081, 9.901712417602539, 1.0334148406982422, -0.6715008616447449, 0.4890040457248688, 0, 
101, 718028125, 0.65964246, 0.0017389877, -0.019880729, -0.7513147, 0.08090364933013916, 0.1396980732679367, 9.940850257873535, 1.1135441064834595, -0.7072433829307556, 0.49606025218963623, 0, 
102, 718044792, 0.6597502, 0.0017503939, -0.019960523, -0.75121796, 0.08969157189130783, 0.13557811081409454, 9.91520881652832, 1.043634295463562, -0.7354558706283569, 0.49317893385887146, 0, 
103, 718061459, 0.6598576, 0.0017649623, -0.020024762, -0.75112176, 0.09748910367488861, 0.12318359315395355, 9.891684532165527, 0.983418881893158, -0.6549038887023926, 0.4786565601825714, 0, 
104, 718078126, 0.65997297, 0.0017885296, -0.020090744, -0.7510185, 0.09133975207805634, 0.13814549148082733, 9.896011352539062, 1.0425200462341309, -0.6208774447441101, 0.532379150390625, 0, 
105, 718094793, 0.6600772, 0.001802739, -0.020159526, -0.750925, 0.07684869319200516, 0.13201338052749634, 9.946111679077148, 1.0206788778305054, -0.6882644295692444, 0.46159204840660095, 0, 
106, 718111460, 0.6601912, 0.0018152402, -0.02021896, -0.75082314, 0.09570472687482834, 0.1312367022037506, 9.924702644348145, 0.9724181890487671, -0.6614992022514343, 0.5223646759986877, 0, 
107, 718128127, 0.66029793, 0.0018286435, -0.020290906, -0.7507275, 0.0953870639204979, 0.13311056792736053, 9.86883544921875, 1.0481548309326172, -0.7206517457962036, 0.45031607151031494, 0, 
108, 718144794, 0.66041464, 0.0018403986, -0.020352615, -0.7506231, 0.11888440698385239, 0.12819086015224457, 9.88958740234375, 0.9965454339981079, -0.6855494976043701, 0.5659317374229431, 0, 
109, 718161461, 0.6605244, 0.0018519885, -0.020420916, -0.7505246, 0.0915759727358818, 0.13186082243919373, 9.92686653137207, 1.0362129211425781, -0.7217403054237366, 0.4791751801967621, 0, 
110, 718178128, 0.66062677, 0.0018639594, -0.020485409, -0.75043267, 0.0940471738576889, 0.12065450102090836, 9.912616729736328, 1.0257822275161743, -0.7103042602539062, 0.4241783320903778, 0, 
111, 718194795, 0.6607366, 0.0018797828, -0.020550273, -0.75033414, 0.10035345703363419, 0.1311844289302826, 9.895707130432129, 1.0543276071548462, -0.6966526508331299, 0.4686804413795471, 0, 
112, 718211462, 0.66085184, 0.0018877705, -0.020609597, -0.7502311, 0.10641536116600037, 0.13188022375106812, 9.911202430725098, 0.999157726764679, -0.7164896130561829, 0.5279096961021423, 0, 
113, 718228129, 0.66096514, 0.0018951555, -0.020666933, -0.7501297, 0.08727548271417618, 0.13305455446243286, 9.904400825500488, 0.9919989705085754, -0.7164640426635742, 0.4796426296234131, 0, 
114, 718244796, 0.661069, 0.0018951972, -0.020723362, -0.7500365, 0.09064978361129761, 0.1371992975473404, 9.916178703308105, 0.9625765681266785, -0.7561317086219788, 0.4479020833969116, 0, 
115, 718261463, 0.66118467, 0.0019048321, -0.02078564, -0.7499328, 0.09075865894556046, 0.1308138370513916, 9.91649341583252, 1.0438584089279175, -0.7401238083839417, 0.5113832354545593, 0, 
116, 718278130, 0.661294, 0.0019126955, -0.020840768, -0.7498349, 0.08570290356874466, 0.11940918862819672, 9.893305778503418, 1.0073282718658447, -0.7226495742797852, 0.4623284637928009, 0, 
117, 718294797, 0.6614108, 0.0019297095, -0.020898998, -0.7497302, 0.09286446869373322, 0.12388308346271515, 9.915056228637695, 1.0740877389907837, -0.6948596835136414, 0.5347739458084106, 0, 
118, 718311464, 0.66153055, 0.0019283561, -0.02095217, -0.74962306, 0.09939819574356079, 0.15018591284751892, 9.9277925491333, 0.9738653302192688, -0.7728504538536072, 0.5727192163467407, 0, 
119, 718328131, 0.6616416, 0.0019314128, -0.021001277, -0.74952364, 0.07955017685890198, 0.12694750726222992, 9.904516220092773, 0.9777582287788391, -0.7386702299118042, 0.47039639949798584, 0, 
