sep=															
DeviceTag:	Xsens_3														
FirmwareVersion:	2.2.1														
AppVersion:	2023.0.0														
StartTime:	2023-07-17 14:57:19.000 +0200														
© Movella Technologies B. V. 2005-2023															
PacketCounter	SampleTimeFine	Quat_W	Quat_X	Quat_Y	Quat_Z	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Status
1701	1142295430	0.911911039	0.331920471	-0.240263144	-0.022818418	-8.586168355	-1.446595666	-4.475975405	-33.33630241	14.35414666	-28.04398693	1.164650524	-0.4178901	0.194524969	0
1702	1142312097	0.913877525	0.326521773	-0.239816287	-0.026449003	-8.661323922	-1.280023984	-4.397787361	-33.43401253	13.93000072	-29.47803773	1.162636431	-0.41835499	0.20123793	0
1703	1142328764	0.915876946	0.320825743	-0.239434763	-0.030187022	-8.592034312	-1.182273139	-4.295041212	-35.21546148	13.86876781	-30.78647778	1.160966121	-0.415241045	0.206878383	0
1704	1142345431	0.918201968	0.313921529	-0.239125106	-0.034316219	-8.49144392	-1.296899126	-4.436837526	-42.91101864	15.0727123	-35.32791976	1.159484938	-0.414781802	0.215696982	0
1705	1142362098	0.920572699	0.306646726	-0.238783363	-0.038680714	-8.492014567	-1.365644557	-4.447607586	-44.96400271	15.9467106	-37.34512626	1.156373379	-0.406808292	0.217841492	0
1706	1142378765	0.922677802	0.29990088	-0.238468436	-0.04310384	-8.620977725	-1.276236045	-4.345888803	-40.97419684	15.32420568	-36.97790749	1.156357081	-0.404774101	0.226830358	0
1707	1142395432	0.924727741	0.292987083	-0.238256189	-0.047656718	-8.490470173	-1.032984606	-4.353269472	-41.7462786	14.90141462	-38.30553481	1.154038486	-0.402239035	0.232448447	0
1708	1142412099	0.926951327	0.285121383	-0.238108856	-0.052642261	-8.299912799	-1.087125813	-4.502523328	-47.4600734	15.96204275	-42.68977063	1.153613308	-0.398631714	0.241959344	0
1709	1142428766	0.929304515	0.276449236	-0.237896644	-0.058087226	-8.312998275	-1.259750587	-4.454681202	-52.08161859	17.78260193	-46.76494149	1.153382991	-0.394817133	0.245937037	0
1710	1142445433	0.931567335	0.267551776	-0.237730938	-0.063893259	-8.628004465	-1.380701846	-4.308585475	-52.78940272	18.11520227	-49.56878346	1.147914376	-0.390335719	0.25402305	0
1711	1142462100	0.933457041	0.259154021	-0.237897835	-0.070012614	-8.612564508	-1.211038311	-4.239649483	-48.53659593	15.73411364	-51.53488104	1.146151478	-0.387951455	0.261675628	0
1712	1142478767	0.93516007	0.250697717	-0.238283435	-0.076467657	-8.456916182	-1.019455662	-4.239505199	-48.13889325	14.65197012	-54.26555409	1.146530506	-0.384778064	0.268111065	0
1713	1142495434	0.9368734	0.241464495	-0.238809324	-0.08326606	-8.385913952	-1.003475077	-4.305210515	-52.65855074	14.77145851	-57.98118054	1.138440534	-0.379194045	0.275173524	0
1714	1142512101	0.938466109	0.23188214	-0.239489435	-0.090315254	-8.491387933	-0.945441267	-4.002044886	-54.38203693	14.19779043	-60.49307684	1.140802555	-0.371759686	0.28165929	0
1715	1142528768	0.93980297	0.2222031	-0.240617572	-0.097464579	-8.784879377	-0.906650257	-3.806110782	-54.70088298	11.11190344	-62.16754834	1.137455076	-0.370844979	0.292099196	0
1716	1142545435	0.940803716	0.212787655	-0.242237417	-0.104550542	-8.797674827	-0.850349124	-3.849317297	-52.89908695	7.113009007	-62.29001342	1.135794827	-0.364493316	0.299077403	0
1717	1142562102	0.941564108	0.203592707	-0.244085407	-0.111487015	-8.700907472	-0.732195412	-3.866972023	-51.51360581	4.868308262	-61.45326907	1.130808265	-0.359510572	0.30101086	0
1718	1142578769	0.94222881	0.194094556	-0.246049987	-0.118285998	-8.77629348	-0.621886754	-3.754359385	-53.64474603	4.001330207	-61.29858747	1.125318104	-0.3552082	0.310616624	0
1719	1142595436	0.942793152	0.183959455	-0.248364687	-0.124959886	-8.830633755	-0.555664169	-3.630336263	-58.10406702	1.928990969	-62.1007987	1.121981803	-0.348137399	0.319414844	0
1720	1142612103	0.943169417	0.173604252	-0.251079405	-0.131347432	-8.919809673	-0.632407136	-3.646298791	-60.1005468	-1.142983095	-61.27374621	1.116733704	-0.34152297	0.325617877	0
1721	1142628770	0.943371887	0.163539637	-0.253868328	-0.137314027	-8.819189394	-0.753276641	-3.728242223	-58.77121257	-2.670900427	-58.27125495	1.115064149	-0.332802923	0.330320395	0
1722	1142645437	0.943480684	0.153628431	-0.25652448	-0.142960465	-8.709564928	-0.883995225	-3.759797096	-58.08293169	-2.464465423	-55.85170216	1.110783105	-0.326297505	0.336771492	0
1723	1142662104	0.94346554	0.143968656	-0.259081567	-0.148399942	-8.737614867	-1.097598742	-3.792321948	-56.57295992	-2.49228562	-54.0709287	1.1066165	-0.316951456	0.342599907	0
1724	1142678771	0.943266692	0.134905816	-0.261680503	-0.153530724	-8.802236397	-1.12580954	-3.66088594	-53.10131375	-3.994633424	-51.22280846	1.106011142	-0.30623215	0.348690423	0
1725	1142695438	0.942942563	0.125912633	-0.264408133	-0.158409818	-8.865152821	-0.996066624	-3.630687631	-53.10779063	-5.347277802	-49.70267959	1.100732443	-0.302746289	0.355530303	0
1726	1142712105	0.942553625	0.116858688	-0.267070498	-0.163125901	-8.748456258	-0.919812792	-3.669709629	-53.65355499	-5.101295808	-48.75613215	1.096152076	-0.29571188	0.355997576	0
1727	1142728772	0.942124406	0.107493489	-0.269510419	-0.167960972	-8.754923182	-1.206920601	-3.745122306	-55.15463278	-3.272882908	-49.95183052	1.095853413	-0.285165195	0.360413303	0
1728	1142745439	0.941613983	0.098019803	-0.271689167	-0.173032428	-8.826854417	-1.533688937	-3.726237133	-55.04908976	-1.418040606	-51.57321398	1.090651537	-0.277194903	0.363480284	0
1729	1142762106	0.940944262	0.088809086	-0.273737154	-0.178339037	-8.812374813	-1.485146452	-3.599413414	-52.64101703	-1.012622514	-52.69575706	1.090321348	-0.269838415	0.370518069	0
1730	1142778773	0.940165613	0.079098563	-0.275668988	-0.183952838	-8.761581793	-1.146333933	-3.517662569	-55.07930868	0.347267473	-55.67491582	1.084057088	-0.263459178	0.375133586	0
1731	1142795440	0.939278764	0.068673292	-0.277414788	-0.189948461	-8.872948488	-1.109701885	-3.517775083	-58.66568921	2.472858005	-59.52110801	1.081544046	-0.25522855	0.375128248	0
1732	1142812107	0.938252076	0.057719249	-0.278944679	-0.196319627	-9.073413608	-1.275124228	-3.504997348	-60.99762998	4.485364368	-63.02268097	1.077350595	-0.247844262	0.379476876	0
1733	1142828774	0.937103769	0.047558883	-0.280299419	-0.202501639	-9.161406661	-1.147863708	-3.617071628	-55.93488119	4.251133982	-60.36350974	1.077879629	-0.237166985	0.381234609	0
1734	1142845441	0.935876701	0.037827139	-0.28151525	-0.208454005	-9.252231496	-0.689609238	-3.465840227	-53.37568455	4.336618486	-58.11123747	1.075811209	-0.227969213	0.383367278	0
1735	1142862108	0.934535541	0.027107585	-0.282761847	-0.214369399	-9.055790359	-0.491339834	-3.493999508	-59.78028868	5.344278512	-59.94059761	1.071978037	-0.218527829	0.385663045	0
1736	1142878775	0.933090898	0.015760098	-0.283980048	-0.220109809	-9.040790079	-0.582163258	-3.550810988	-64.05830025	6.242239096	-60.1706634	1.069337183	-0.20792532	0.38855331	0
1737	1142895442	0.931589662	0.004846136	-0.285133376	-0.225424433	-9.301154048	-0.707262688	-3.578514211	-61.96923009	5.867973885	-56.65910686	1.066538303	-0.196820511	0.389443361	0
1738	1142912109	0.930037852	-0.005743436	-0.286245605	-0.230347692	-9.295131724	-0.58429851	-3.634348386	-60.56039675	5.537470527	-53.58143979	1.063730744	-0.185962489	0.392147844	0
1739	1142928776	0.928429728	-0.016287606	-0.28738817	-0.234863777	-9.18531445	-0.363797624	-3.649626156	-61.08708946	5.199936669	-50.96432392	1.063157456	-0.176135831	0.392929141	0
1740	1142945443	0.926798806	-0.02735247	-0.288438494	-0.238954075	-9.091166479	-0.357063383	-3.62113909	-65.06690668	6.658503753	-49.30995236	1.061387592	-0.164146384	0.393241773	0
1741	1142962110	0.925090248	-0.038679166	-0.289463374	-0.242740418	-9.121896723	-0.578945982	-3.660690923	-67.27216158	7.181383242	-48.01261237	1.063353982	-0.150920907	0.395882836	0
1742	1142978777	0.923336922	-0.049532262	-0.290593716	-0.246070674	-9.176470945	-0.596098735	-3.646344635	-65.32352437	5.777650932	-44.20636244	1.059666825	-0.14046067	0.395757034	0
1743	1142995444	0.921533334	-0.060294649	-0.291836983	-0.248941852	-9.128268564	-0.605911111	-3.528159484	-65.84038578	4.991937578	-41.14673223	1.061120766	-0.126050734	0.395934627	0
1744	1143012111	0.91965773	-0.071000552	-0.293279257	-0.251348084	-8.926475129	-0.526067785	-3.527049203	-66.75198603	3.711680246	-38.11774618	1.054135237	-0.112031569	0.396288977	0
1745	1143028778	0.917793559	-0.081762299	-0.294842316	-0.253057144	-8.788341835	-0.465192775	-3.507472977	-68.68225454	3.438029364	-33.73306825	1.056967665	-0.098781658	0.389904199	0
1746	1143045445	0.915969841	-0.092630762	-0.296522472	-0.253955144	-8.692671943	-0.486325766	-3.402372373	-71.1488717	3.456181581	-28.68618652	1.056166328	-0.088441665	0.395853018	0
1747	1143062112	0.914180861	-0.103107296	-0.298526881	-0.254015631	-8.724113652	-0.579738169	-3.398224647	-70.8961758	1.369949999	-22.33525991	1.059414913	-0.071773674	0.395319419	0
1748	1143078779	0.912417791	-0.113607686	-0.30072206	-0.253285038	-8.772332929	-0.480727553	-3.550716052	-72.9548617	0.864075832	-17.22164092	1.057604578	-0.057227562	0.390601822	0
1749	1143095446	0.910690718	-0.124455006	-0.30299948	-0.251683696	-8.614336945	-0.432300774	-3.595444351	-77.01421338	1.748550146	-12.34157727	1.055788556	-0.042479787	0.388454349	0
1750	1143112113	0.909023305	-0.135095336	-0.30551893	-0.249166739	-8.643762282	-0.549647081	-3.490945898	-77.96705546	0.823561024	-5.861408735	1.057346348	-0.029162552	0.38736809	0
1751	1143128780	0.907363207	-0.145513638	-0.308233626	-0.245987447	-8.797388073	-0.761102344	-3.547322635	-78.26989241	-0.101806201	-1.054172306	1.058526598	-0.014223604	0.385803989	0
1752	1143145447	0.905697584	-0.155910809	-0.310954337	-0.242303749	-8.825753311	-0.735726625	-3.800404382	-79.19931153	0.363087906	2.138117739	1.059787449	0.003994277	0.383279136	0
1753	1143162114	0.904002309	-0.166467214	-0.313515706	-0.238277976	-8.881963414	-0.696442336	-3.945445382	-80.670363	1.967016466	3.709942227	1.060403508	0.019302776	0.382153654	0
1754	1143178781	0.902218531	-0.17700783	-0.316041492	-0.234067779	-9.032412641	-0.621092009	-4.024792372	-80.99758211	2.227308721	4.703412132	1.061776277	0.032626832	0.377453057	0
1755	1143195448	0.900263781	-0.187745523	-0.318521855	-0.229827263	-8.988670632	-0.714616174	-4.033094137	-82.40496785	2.535192253	4.131303165	1.06108026	0.045449656	0.375427318	0
1756	1143212115	0.898182202	-0.198574939	-0.320811915	-0.225646715	-8.88637764	-0.759148246	-4.039268988	-82.68710151	3.545912592	3.111057653	1.064761042	0.061771092	0.369524577	0
1757	1143228782	0.895956501	-0.209342708	-0.322972824	-0.221644161	-8.944103912	-0.61196179	-4.005917673	-81.9005789	3.727969319	1.742194987	1.064598495	0.079454276	0.367848162	0
1758	1143245449	0.893513015	-0.220079717	-0.325163803	-0.21787132	-8.962536341	-0.649992332	-4.046031543	-81.54328767	2.724700953	0.101734572	1.067171932	0.09245943	0.36150804	0
1759	1143262116	0.890888252	-0.230664055	-0.327289935	-0.214460986	-8.906153316	-0.598173687	-4.110654668	-79.95818976	1.980113393	-2.159967539	1.068732581	0.111617001	0.359233611	0
1760	1143278783	0.888202679	-0.240744088	-0.329384252	-0.21129198	-8.847015298	-0.584932858	-3.994643544	-76.35847298	0.949036661	-2.648587288	1.067871033	0.126533169	0.351533435	0
1761	1143295450	0.885410362	-0.250452642	-0.331521599	-0.208363609	-8.860227768	-0.495263924	-3.978210992	-73.77362213	-0.457311157	-3.367567422	1.070017462	0.141062466	0.345467872	0
1762	1143312117	0.882352714	-0.260129791	-0.333778922	-0.205858717	-8.871038713	-0.483223634	-4.063786469	-73.22954015	-2.531659029	-6.051961927	1.067382794	0.151605172	0.341407857	0
1763	1143328784	0.879083543	-0.269953161	-0.335831408	-0.203849652	-8.748201462	-0.508181944	-4.037757118	-73.05093068	-2.418982363	-10.06829531	1.069766242	0.164315234	0.331777209	0
1764	1143345451	0.875802307	-0.279336165	-0.337753664	-0.202148679	-8.715202878	-0.459948032	-3.968266473	-69.50397341	-2.817809094	-11.17865578	1.068498895	0.178004116	0.328933288	0
