sample;time;ulna_l_offset|position;;;humerus_l_offset|position;;
;;x;y;z;x;y;z
160;2.65;0.1738442475274674;1.390774522529502;-0.237213330543958;0.1738442475274674;1.390774522529502;-0.237213330543958
161;2.66666667;0.1738043487892056;1.389656358582657;-0.2370453841350407;0.1738043487892056;1.389656358582657;-0.2370453841350407
162;2.68333333;0.1737554055338792;1.388517135511555;-0.2369212923462041;0.1737554055338792;1.388517135511555;-0.2369212923462041
163;2.7;0.1736995334250278;1.387374756247298;-0.2368246026570786;0.1736995334250278;1.387374756247298;-0.2368246026570786
164;2.71666667;0.17364013267307;1.386236631853003;-0.2367172736132258;0.17364013267307;1.386236631853003;-0.2367172736132258
165;2.73333333;0.1735754344259432;1.385109988655781;-0.236628768186768;0.1735754344259432;1.385109988655781;-0.236628768186768
166;2.75;0.1735119549975382;1.384058480189882;-0.2365337492560328;0.1735119549975382;1.384058480189882;-0.2365337492560328
167;2.76666667;0.1734471291222856;1.383058681457331;-0.2364542026792157;0.1734471291222856;1.383058681457331;-0.2364542026792157
168;2.78333333;0.1733803707006389;1.382075343264277;-0.2363700032946134;0.1733803707006389;1.382075343264277;-0.2363700032946134
169;2.8;0.1733138163387768;1.381144269196566;-0.2362926359740064;0.1733138163387768;1.381144269196566;-0.2362926359740064
170;2.81666667;0.1732472364417099;1.380253109444009;-0.2362185187040922;0.1732472364417099;1.380253109444009;-0.2362185187040922
171;2.83333333;0.1731808959521907;1.379413432859012;-0.2361621879083027;0.1731808959521907;1.379413432859012;-0.2361621879083027
172;2.85;0.1731140784117401;1.378625211318046;-0.236139215197203;0.1731140784117401;1.378625211318046;-0.236139215197203
173;2.86666667;0.1730460137335697;1.37787861324698;-0.2361536925600029;0.1730460137335697;1.37787861324698;-0.2361536925600029
174;2.88333333;0.1729841018048299;1.377195431144735;-0.2361392450320609;0.1729841018048299;1.377195431144735;-0.2361392450320609
175;2.9;0.1729252503411305;1.376552365984851;-0.2361132937743465;0.1729252503411305;1.376552365984851;-0.2361132937743465
176;2.91666667;0.1728675362748273;1.375944691358236;-0.2360987111967912;0.1728675362748273;1.375944691358236;-0.2360987111967912
177;2.93333333;0.1728113065047343;1.375385934774109;-0.2361117767826766;0.1728113065047343;1.375385934774109;-0.2361117767826766
178;2.95;0.1727514227670975;1.374803621563502;-0.2361267500812932;0.1727514227670975;1.374803621563502;-0.2361267500812932
179;2.96666667;0.1726886551249686;1.374235201983473;-0.2361828091372513;0.1726886551249686;1.374235201983473;-0.2361828091372513
180;2.98333333;0.1726278862605797;1.373707868242195;-0.2362544693260835;0.1726278862605797;1.373707868242195;-0.2362544693260835
181;3;0.1725705202925867;1.373215663916309;-0.236317891355035;0.1725705202925867;1.373215663916309;-0.236317891355035
182;3.01666667;0.1725248074597224;1.372827085062972;-0.2363654084523235;0.1725248074597224;1.372827085062972;-0.2363654084523235
183;3.03333333;0.1724818482441471;1.372456737332349;-0.2363961637273764;0.1724818482441471;1.372456737332349;-0.2363961637273764
184;3.05;0.1724428415305804;1.37210843359666;-0.2364011137341288;0.1724428415305804;1.37210843359666;-0.2364011137341288
185;3.06666667;0.172413362415903;1.371831971954246;-0.2363817653829873;0.172413362415903;1.371831971954246;-0.2363817653829873
186;3.08333333;0.172378104981437;1.371529908814417;-0.2363962265755152;0.172378104981437;1.371529908814417;-0.2363962265755152
187;3.1;0.1723439897562587;1.37123916730286;-0.2364084703359205;0.1723439897562587;1.37123916730286;-0.2364084703359205
188;3.11666667;0.1723226696806983;1.371057293375345;-0.2364138636761161;0.1723226696806983;1.371057293375345;-0.2364138636761161
189;3.13333333;0.1723039234188564;1.370890531920274;-0.2364070394528191;0.1723039234188564;1.370890531920274;-0.2364070394528191
190;3.15;0.1722846289719859;1.370709794494443;-0.2363848871167623;0.1722846289719859;1.370709794494443;-0.2363848871167623
191;3.16666667;0.1722707035720745;1.37057047431608;-0.2363544261453074;0.1722707035720745;1.37057047431608;-0.2363544261453074
192;3.18333333;0.1722532004395225;1.370424967288276;-0.2363601647050539;0.1722532004395225;1.370424967288276;-0.2363601647050539
193;3.2;0.1722393600254071;1.370311232513733;-0.2363660353584137;0.1722393600254071;1.370311232513733;-0.2363660353584137
194;3.21666667;0.17223770689338;1.370283792228422;-0.2363454094914385;0.17223770689338;1.370283792228422;-0.2363454094914385
195;3.23333333;0.1722464453947584;1.370326299229297;-0.2362968341884039;0.1722464453947584;1.370326299229297;-0.2362968341884039
196;3.25;0.172260908321284;1.370393773427791;-0.2362115706831216;0.172260908321284;1.370393773427791;-0.2362115706831216
197;3.26666667;0.1722809419423298;1.370507847311449;-0.2361243743753867;0.1722809419423298;1.370507847311449;-0.2361243743753867
198;3.28333333;0.1722960255359002;1.370598363212303;-0.2360652201795791;0.1722960255359002;1.370598363212303;-0.2360652201795791
199;3.3;0.1723117304406975;1.370695814956537;-0.2360079867942144;0.1723117304406975;1.370695814956537;-0.2360079867942144
200;3.31666667;0.1723338482436464;1.370861444520407;-0.2359700513958185;0.1723338482436464;1.370861444520407;-0.2359700513958185
201;3.33333333;0.1723564788297413;1.371023489706906;-0.2359184342302;0.1723564788297413;1.371023489706906;-0.2359184342302
